MCC|MNC|NetType|Organisation|Network|PPCIN|AbrevNetName
404|58|GSM 900|Bharat Sanchar Nigam Limited|CellOne Madhya Pradesh|CellOne|CellOne
404|66|GSM 900|Bharat Sanchar Nigam Limited|CellOne Maharashtra|CellOne|CellOne
404|77|GSM 900|Bharat Sanchar Nigam Limited|CellOne North East|CellOne|CellOne
404|76|GSM 900|Bharat Sanchar Nigam Limited|CellOne Orissa|CellOne|CellOne
404|53|GSM 900|Bharat Sanchar Nigam Limited|CellOne Punjab|CellOne|CellOne
404|59|GSM 900|Bharat Sanchar Nigam Limited|CellOne Rajasthan|CellOne|CellOne
404|80|GSM 900|Bharat Sanchar Nigam Limited|CellOne Tamil Nadu|CellOne|CellOne
404|55|GSM 900|Bharat Sanchar Nigam Limited|CellOne Uttar Pradesh (East)|CellOne|CellOne
404|54|GSM 900|Bharat Sanchar Nigam Limited|CellOne Uttar Pradesh (West)|CellOne|CellOne
404|74|GSM 900|Bharat Sanchar Nigam Limited|CellOne West Bengal|CellOne|CellOne
404|68|GSM 900|Mahanagar Telephone Nigam Limited|Mahanagar Telephone Nigam|IN-DOLPHIN|DOLPHIN
404|69|GSM 900|Mahanagar Telephone Nigam Limited|Mahanagar Telephone Nigam|IN-DOLPHIN|DOLPHIN
404|16|GSM 900|Bharti Hexacom Ltd|AIRTEL|IND airtel|airtel
404|70|GSM 900|Bharti Hexacom Ltd|AIRTEL|IND airtel|airtel
404|89|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|799|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|845|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|846|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|848|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|849|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|850|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|852|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|853|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|04|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|07|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|12|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|14|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|19|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|22|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|24|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|44|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|56|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|70|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|78|GSM 900|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|82|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
404|87|GSM 1800|Vodafone Idea Limited|Idea Cellular Ltd|IDEA|IDEA
405|825|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|827|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|828|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|829|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|830|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|831|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|832|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|833|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|834|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|835|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|836|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|837|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|838|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|839|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|841|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|842|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|843|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|823|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|824|GSM 1800|Videocon Telecommunications Limited|Datacom Solutions Pvt. Ltd.|VIDEOCON|VIDEOCON
405|840|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|854|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|855|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|856|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|857|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|858|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|859|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|860|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|861|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|862|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|863|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|864|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|865|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|866|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|867|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|868|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|869|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|870|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|871|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|872|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|873|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
405|874|LTE-TD 2300|Reliance Jio Infocomm Limited|Reliance Jio Infocomm Ltd India|IND-JIO|JIO
272|02|GSM 900|Three Ireland (Hutchison) Limited|3|3|3
272|02|GSM 1800|Three Ireland (Hutchison) Limited|3|3|3
272|02|3G 2100|Three Ireland (Hutchison) Limited|3|3|3
272|05|3G 2100|Three Ireland (Hutchison) Limited|3|3|3
272|05|LTE 800|Three Ireland (Hutchison) Limited|3|3|3
272|05|LTE 900|Three Ireland (Hutchison) Limited|3|3|3
272|05|LTE 1800|Three Ireland (Hutchison) Limited|3|3|3
272|03|GSM 900|Meteor Mobile Communications Limited|Meteor|IRL - METEOR|METEOR
272|03|GSM 1800|Meteor Mobile Communications Limited|Meteor|IRL - METEOR|METEOR
272|03|LTE 800|Meteor Mobile Communications Limited|Meteor|IRL - METEOR|METEOR
272|03|LTE 1800|Meteor Mobile Communications Limited|Meteor|IRL - METEOR|METEOR
272|03|3G 2100|Meteor Mobile Communications Limited|Meteor|IRL - METEOR|METEOR
272|03|3G 900|Meteor Mobile Communications Limited|Meteor|IRL - METEOR|METEOR
272|01|GSM 900|Vodafone Ireland Limited|vodafone|vodafone IE|voda IE
272|01|GSM 1800|Vodafone Ireland Limited|vodafone|vodafone IE|voda IE
272|01|3G 2100|Vodafone Ireland Limited|vodafone|vodafone IE|voda IE
272|01|3G 900|Vodafone Ireland Limited|vodafone|vodafone IE|voda IE
272|01|LTE 800|Vodafone Ireland Limited|vodafone|vodafone IE|voda IE
272|01|LTE 1800|Vodafone Ireland Limited|vodafone|vodafone IE|voda IE
418|40|GSM 900|Korek Telecom Company|Korek Telecom|KOREK|KOREK
418|20|GSM 900|Atheer Telecommunications Iraq Limited|zain IQ|zain IQ|zain IQ
418|30|GSM 900|Atheer Telecommunications Iraq Limited|Zain Iraq|IRAQNA|IRAQNA
418|05|GSM 900|Asiacell Communications PJSC|Asiacell|ASIACELL|ASIACELL
274|11|3G 2100|Nova ehf.|NOVA|NOVA IS|NOVA
274|11|LTE 800|Nova ehf.|NOVA|NOVA IS|NOVA
274|11|LTE 1800|Nova ehf.|NOVA|NOVA IS|NOVA
274|11|LTE 2100|Nova ehf.|NOVA|NOVA IS|NOVA
274|11|3G 2100|Nova ehf.|NOVA|NOVA IS|NOVA
274|11|3G 900|Nova ehf.|NOVA|NOVA IS|NOVA
274|02|LTE 2600|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|LTE 900|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|LTE 2100|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|GSM 900|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|GSM 1800|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|3G 2100|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|LTE 800|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|LTE 1800|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|02|3G 900|Sýn hf.|Vodafone Iceland|Vodafone|Vodafone
274|04|GSM 1800|IMC Ísland ehf.|Viking wireless|Viking|Viking
274|08|GSM 900|Síminn h.f.|NE - On-Waves|IS OnWaves|OnWaves
274|08|GSM 1800|Síminn h.f.|NE - On-Waves|IS OnWaves|OnWaves
274|01|GSM 900|Síminn h.f.|Siminn|IS SIMINN|SIMINN
274|01|GSM 1800|Síminn h.f.|Siminn|IS SIMINN|SIMINN
274|01|3G 2100|Síminn h.f.|Siminn|IS SIMINN|SIMINN
274|01|LTE 1800|Síminn h.f.|Siminn|IS SIMINN|SIMINN
274|01|LTE 2100|Síminn h.f.|Siminn|IS SIMINN|SIMINN
274|01|3G 900|Síminn h.f.|Siminn|IS SIMINN|SIMINN
425|28|3G 2100|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|Israel
425|28|GSM 900|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|Israel
425|28|GSM 1800|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|Israel
425|28|3G 900|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|Israel
425|07|3G 900|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|HOT IL
425|07|3G 2100|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|HOT IL
425|07|GSM 900|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|HOT IL
425|07|GSM 1800|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|HOT IL
425|07|LTE 1800|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|HOT IL
425|07|LTE 2100|Hot Mobile Ltd.|Hot Mobile Ltd.|Hot Mobile Ltd.|HOT IL
425|03|3G 850|Pelephone Communication Ltd.|Pelephone|IL Pelephone|PCL
425|03|3G 2100|Pelephone Communication Ltd.|Pelephone|IL Pelephone|PCL
425|03|LTE 1800|Pelephone Communication Ltd.|Pelephone|IL Pelephone|PCL
425|02|3G 2100|Cellcom Israel Ltd.|Cellcom Israel|Cellcom IL|Cellcom
425|02|GSM 1800|Cellcom Israel Ltd.|Cellcom Israel|Cellcom IL|Cellcom
425|02|3G 850|Cellcom Israel Ltd.|Cellcom Israel|Cellcom IL|Cellcom
425|01|3G 2100|Partner Communications Company Ltd.|Partner IL|Partner IL|Partner
425|01|GSM 900|Partner Communications Company Ltd.|Partner IL|Partner IL|Partner
425|01|GSM 1800|Partner Communications Company Ltd.|Partner IL|Partner IL|Partner
425|01|LTE 1800|Partner Communications Company Ltd.|Partner IL|Partner IL|Partner
425|08|LTE 1800|Golan Telecom Ltd|Golan Telecom IL|Golan IL|Golan T
425|08|3G 2100|Golan Telecom Ltd|Golan Telecom IL|Golan IL|Golan T
425|08|GSM 1800|Golan Telecom Ltd|Golan Telecom IL|Golan IL|Golan T
425|08|3G 850|Golan Telecom Ltd|Golan Telecom IL|Golan IL|Golan T
222|99|3G 2100|Wind Tre S.p.A.|H3G|3 ITA|3 ITA
222|88|GSM 900|Wind Tre S.p.A. (ITAWI)|Wind Telecomunicazioni SpA|I WIND|I WIND
222|88|GSM 1800|Wind Tre S.p.A. (ITAWI)|Wind Telecomunicazioni SpA|I WIND|I WIND
222|88|3G 2100|Wind Tre S.p.A. (ITAWI)|Wind Telecomunicazioni SpA|I WIND|I WIND
222|88|LTE 800|Wind Tre S.p.A. (ITAWI)|Wind Telecomunicazioni SpA|I WIND|I WIND
901|26|GSM 900|Telecom Italia SpA|TIM|TIM@sea|TIM@sea
901|26|GSM 1800|Telecom Italia SpA|TIM|TIM@sea|TIM@sea
222|01|GSM 900|Telecom Italia SpA|TIM|I TIM|TIM
222|01|GSM 1800|Telecom Italia SpA|TIM|I TIM|TIM
222|01|3G 2100|Telecom Italia SpA|TIM|I TIM|TIM
222|01|LTE 800|Telecom Italia SpA|TIM|I TIM|TIM
222|01|LTE 1800|Telecom Italia SpA|TIM|I TIM|TIM
222|01|LTE 2600|Telecom Italia SpA|TIM|I TIM|TIM
222|10|GSM 900|Vodafone Italia S.p.A|vodafone|vodafone IT|voda IT
222|10|GSM 1800|Vodafone Italia S.p.A|vodafone|vodafone IT|voda IT
222|10|3G 2100|Vodafone Italia S.p.A|vodafone|vodafone IT|voda IT
222|50|3G 900|ILIAD Italia S.p.A. |ILIAD ITALIA|ILIAD|ILIAD
222|50|3G 2100|ILIAD Italia S.p.A. |ILIAD ITALIA|ILIAD|ILIAD
222|50|LTE 1800|ILIAD Italia S.p.A. |ILIAD ITALIA|ILIAD|ILIAD
222|50|LTE 2600|ILIAD Italia S.p.A. |ILIAD ITALIA|ILIAD|ILIAD
338|180|GSM 1900|Cable & Wireless Jamaica Limited|FLOW|FLOW|FLOW
338|050|GSM 900|Digicel (Jamaica) Limited|Digicel Jamaica|Digicel|Digicel
338|050|GSM 1800|Digicel (Jamaica) Limited|Digicel Jamaica|Digicel|Digicel
338|050|GSM 850|Digicel (Jamaica) Limited|Digicel Jamaica|Digicel|Digicel
338|050|3G 850|Digicel (Jamaica) Limited|Digicel Jamaica|Digicel|Digicel
338|050|3G 1900|Digicel (Jamaica) Limited|Digicel Jamaica|Digicel|Digicel
338|050|3G 1800|Digicel (Jamaica) Limited|Digicel Jamaica|Digicel|Digicel
416|03|GSM 1800|Umniah Mobile Company|Umniah|UMNIAH|UMNIAH
416|77|GSM 900|Petra Jordanian Mobile Telecommunications Company (Orange Jordan)|Orange|Orange JO|OrangeJO
416|01|GSM 900|"Jordan Mobile Telephone Services Company, Ltd."|Zain JO|Zain JO|Zain JO
440|50|LTE 800|KDDI Corporation|KDDI Corporation|KDDI|KDDI
440|50|LTE 2100|KDDI Corporation|KDDI Corporation|KDDI|KDDI
440|51|LTE 1500|KDDI Corporation|KDDI Corporation|KDDI|KDDI
440|51|LTE 2100|KDDI Corporation|KDDI Corporation|KDDI|KDDI
440|51|LTE 800|KDDI Corporation|KDDI Corporation|KDDI|KDDI
440|20|3G 2100|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-FDD 2100|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-TDD 2500|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-FDD 700|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-TDD 3500|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-FDD 900|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-FDD 1500|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|LTE-FDD 1700|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|20|3G 900|SoftBank Corp.|SoftBank|SoftBank|SoftBank
440|10|3G 2100|"NTT DOCOMO, Inc."|DOCOMO|JP DOCOMO|DOCOMO
221|02|GSM 900|IPKO Telecommunications LLC|IPKO|IPKO|IPKO
221|02|GSM 1800|IPKO Telecommunications LLC|IPKO|IPKO|IPKO
221|02|3G 900|IPKO Telecommunications LLC|IPKO|IPKO|IPKO
221|02|LTE 1800|IPKO Telecommunications LLC|IPKO|IPKO|IPKO
221|01|GSM 900|Kosovo Telecom JSC|Vala Kosovo Telecom|vala|vala
221|01|GSM 1800|Kosovo Telecom JSC|Vala Kosovo Telecom|vala|vala
221|01|3G 900|Kosovo Telecom JSC|Vala Kosovo Telecom|vala|vala
221|01|LTE 1800|Kosovo Telecom JSC|Vala Kosovo Telecom|vala|vala
401|07|GSM 900|Mobile Telecom-Service LLP|ALTEL|ALTEL|ALTEL
401|07|GSM 1800|Mobile Telecom-Service LLP|ALTEL|ALTEL|ALTEL
401|07|3G 900|Mobile Telecom-Service LLP|ALTEL|ALTEL|ALTEL
401|07|3G 2100|Mobile Telecom-Service LLP|ALTEL|ALTEL|ALTEL
401|07|LTE 1800|Mobile Telecom-Service LLP|ALTEL|ALTEL|ALTEL
401|77|GSM 1800|Mobile Telecom-Service LLP|Tele2 Kazakhstan|Tele2|Tele2
401|77|3G 900|Mobile Telecom-Service LLP|Tele2 Kazakhstan|Tele2|Tele2
401|77|3G 2100|Mobile Telecom-Service LLP|Tele2 Kazakhstan|Tele2|Tele2
401|77|LTE 1800|Mobile Telecom-Service LLP|Tele2 Kazakhstan|Tele2|Tele2
401|77|GSM 900|Mobile Telecom-Service LLP|Tele2 Kazakhstan|Tele2|Tele2
401|01|GSM 900|KaR-Tel LLP|Beeline|Beeline KZ|Beeline
401|01|3G 2100|KaR-Tel LLP|Beeline|Beeline KZ|Beeline
401|02|GSM 900|Kcell JSC|Kcell|Kcell|Kcell
639|07|GSM 900|Telkom Kenya Limited|Telkom|Telkom|Telkom
639|07|GSM 1800|Telkom Kenya Limited|Telkom|Telkom|Telkom
639|07|3G 2100|Telkom Kenya Limited|Telkom|Telkom|Telkom
639|07|LTE 800|Telkom Kenya Limited|Telkom|Telkom|Telkom
639|07|3G 900|Telkom Kenya Limited|Telkom|Telkom|Telkom
639|03|GSM 900|Airtel Networks Kenya Limited|Airtel|Airtel|Airtel
639|03|GSM 1800|Airtel Networks Kenya Limited|Airtel|Airtel|Airtel
639|03|3G 2100|Airtel Networks Kenya Limited|Airtel|Airtel|Airtel
639|02|GSM 900|Safaricom PLC|Safaricom|Safaricom|SAF-COM
639|02|GSM 1800|Safaricom PLC|Safaricom|Safaricom|SAF-COM
639|10|LTE 700|Jamii Telecommunications Limited |FAIBA|FAIBA|FAIBA
437|09|3G 2100|Nur Telecom LLC|O!|O!|O!
437|09|GSM 900|Nur Telecom LLC|O!|O!|O!
437|09|GSM 1800|Nur Telecom LLC|O!|O!|O!
437|09|LTE 2600|Nur Telecom LLC|O!|O!|O!
437|05|3G 900|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|05|3G 2100|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|05|GSM 900|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|05|GSM 1800|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|05|LTE 800|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|05|LTE 1800|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|05|LTE 2100|JSC Alfa Telecom|MegaCom|MegaCom|MegaCom
437|01|3G 2100|Sky Mobile LLC|Beeline|Beeline KG|Beeline
437|01|GSM 900|Sky Mobile LLC|Beeline|Beeline KG|Beeline
437|01|GSM 1800|Sky Mobile LLC|Beeline|Beeline KG|Beeline
456|08|GSM 900|"Viettel (Cambodia) Pte., Ltd."|Metfone|Metfone|Metfone
456|08|GSM 1800|"Viettel (Cambodia) Pte., Ltd."|Metfone|Metfone|Metfone
456|08|3G 2100|"Viettel (Cambodia) Pte., Ltd."|Metfone|Metfone|Metfone
456|02|3G 2100|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|06|3G 2100|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|02|GSM 900|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|02|GSM 1800|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|05|GSM 900|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|05|GSM 900|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|05|3G 2100|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|06|GSM 900|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|06|GSM 1800|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|06|LTE 1800|"Smart Axiata Co., Ltd."|SMART|SMART|SMART
456|04|3G 2100|"Cambodia Advance Communications Co., Ltd (CADCOMMS)"|qb|qb|qb
456|01|GSM 900|CamGSM Co.Ltd.|Cellcard|Cellcard|Cellcard
456|01|3G 2100|CamGSM Co.Ltd.|Cellcard|Cellcard|Cellcard
456|01|GSM 1800|CamGSM Co.Ltd.|Cellcard|Cellcard|Cellcard
456|01|LTE 1800|CamGSM Co.Ltd.|Cellcard|Cellcard|Cellcard
456|11|LTE 850|"South East Asia Telecom (Cambodia) Co., Ltd"|SEATEL CAMBODIA|KH SEATEL|SEATEL
356|110|GSM 850|Cable & Wireless St Kitts & Nevis Limited|FLOW|FLOW|FLOW
356|110|GSM 1900|Cable & Wireless St Kitts & Nevis Limited|FLOW|FLOW|FLOW
450|06|LTE 800|"LG Uplus, Corp."|LG Uplus Corp|KOR LG Uplus|LG U+
450|06|LTE 2100|"LG Uplus, Corp."|LG Uplus Corp|KOR LG Uplus|LG U+
450|10|LTE 800|"LG Uplus, Corp."|LG Uplus Corp|KOR LG Uplus|LG U+
450|10|LTE 2100|"LG Uplus, Corp."|LG Uplus Corp|KOR LG Uplus|LG U+
450|05|3G 2100|"SK Telecom Co., Ltd."|SK Telecom|KOR SK Telecom|SKT
450|08|3G 2100|KT Corporation|KT|KT|KT
450|08|LTE 900|KT Corporation|KT|KT|KT
450|08|LTE 1800|KT Corporation|KT|KT|KT
450|08|LTE 2100|KT Corporation|KT|KT|KT
419|04|GSM 900|Kuwait Telecom Company (K.S.C.)|VIVA KUWAIT|"KT, VIVA"|VIVA
419|04|GSM 1800|Kuwait Telecom Company (K.S.C.)|VIVA KUWAIT|"KT, VIVA"|VIVA
419|04|3G 1900|Kuwait Telecom Company (K.S.C.)|VIVA KUWAIT|"KT, VIVA"|VIVA
419|03|GSM 900|National Mobile Telecommunications Company (K.S.C)|Ooredoo|Ooredoo|Ooredoo
419|03|GSM 1800|National Mobile Telecommunications Company (K.S.C)|Ooredoo|Ooredoo|Ooredoo
419|03|3G 2100|National Mobile Telecommunications Company (K.S.C)|Ooredoo|Ooredoo|Ooredoo
419|03|LTE 1800|National Mobile Telecommunications Company (K.S.C)|Ooredoo|Ooredoo|Ooredoo
419|02|GSM 900|Mobile Telecommunications Company|zain KW|Zain KW|zain KW
419|02|GSM 1800|Mobile Telecommunications Company|zain KW|Zain KW|zain KW
419|02|3G 2100|Mobile Telecommunications Company|zain KW|Zain KW|zain KW
457|03|GSM 900|Star Telecom Company Limited (STL) |LAT|Unitel|UNITEL
457|03|GSM 1800|Star Telecom Company Limited (STL) |LAT|Unitel|UNITEL
457|03|3G 2100|Star Telecom Company Limited (STL) |LAT|Unitel|UNITEL
457|03|LTE 1800|Star Telecom Company Limited (STL) |LAT|Unitel|UNITEL
457|08|GSM 900|VimpelCom Lao Company Ltd.|BEELINE|BEELINE LAO|BEELINE
457|08|GSM 1800|VimpelCom Lao Company Ltd.|BEELINE|BEELINE LAO|BEELINE
457|08|3G 2100|VimpelCom Lao Company Ltd.|BEELINE|BEELINE LAO|BEELINE
457|02|GSM 900|ETL Company Limited|ETL MOBILE|ETL MOBILE NETWORK|ETLMNW
457|02|3G 2100|ETL Company Limited|ETL MOBILE|ETL MOBILE NETWORK|ETLMNW
457|01|GSM 1800|Lao Telecommunication Public Company|LAO TELECOMMUNICATIONS|LAO GSM|LAO GSM
457|01|3G 2100|Lao Telecommunication Public Company|LAO TELECOMMUNICATIONS|LAO GSM|LAO GSM
457|01|GSM 900|Lao Telecommunication Public Company|LAO TELECOMMUNICATIONS|LAO GSM|LAO GSM
415|05|GSM 900|Ogero Telecom|Ogero Mobile (OM)|LBN OGERO Mobile|OM
415|03|GSM 900|Mobile Interim Company 2 (MIC2)|MIC2|touch|touch
415|03|LTE 800|Mobile Interim Company 2 (MIC2)|MIC2|touch|touch
415|03|LTE 1800|Mobile Interim Company 2 (MIC2)|MIC2|touch|touch
415|01|GSM 900|Mobile Interim Company 1 (MIC1)|Alfa|alfa|alfa
415|01|3G 2100|Mobile Interim Company 1 (MIC1)|Alfa|alfa|alfa
618|07|LTE-FDD 1800|Orange Liberia|Orange Liberia|Orange LBR|Orange L
618|07|GSM 900|Orange Liberia|Orange Liberia|Orange LBR|Orange L
618|07|GSM 1800|Orange Liberia|Orange Liberia|Orange LBR|Orange L
618|07|3G 2100|Orange Liberia|Orange Liberia|Orange LBR|Orange L
618|04|3G 2100|Novafone Inc.|Novafone Inc|Novafone 4G|Novafone
618|04|GSM 900|Novafone Inc.|Novafone Inc|Novafone 4G|Novafone
618|04|GSM 1800|Novafone Inc.|Novafone Inc|Novafone 4G|Novafone
618|01|GSM 900|Lonestar Communications Corporation|Lonestar Cell|LBR Lonestar Cell|LoneStar
606|00|GSM 900|Libyana Mobile Phone |Libyana Mobile Phone|Libyana|Libyana
606|01|GSM 900|Al Madar Al Jadeed|MADAR|Al Madar|Al Madar
358|110|GSM 850|Cable & Wireless (St. Lucia) Limited|FLOW|FLOW|FLOW
